CONDR_IDSEQ,CONCEPT_CODE
E3DAEAF9-43A5-758D-E040-BB89AD4354D8,C102844:C107561
CE4E953A-78DE-06FE-E040-BB89AD431C16,C103268:C51778
CE4E953A-78D4-06FE-E040-BB89AD431C16,C103269:C3262:C15232
1DBF84EB-B0DE-22A3-E050-BB89AD435A95,C105799:C29844
E141992A-68C7-79DB-E040-BB89AD43560A,C107221:C25301
21873A93-D1DC-A898-E050-BB89AD4354B4,C116509:C15399
7B026653-DBE3-DD0C-E040-BB89AD4324C4,C12366:C38101
BA20BD4A-208E-878E-E040-BB89AD4316C8,C12382:C37912:C12390:C13717
BA21CC5A-53F6-4519-E040-BB89AD430D3E,C12392:C13308:C12948:C13717
BA21CC5A-541E-4519-E040-BB89AD430D3E,C12392:C37912:C12432:C13717
BA20BD4A-229C-878E-E040-BB89AD4316C8,C12419:C13063:C25389:C12664:C12767:C13717
BA20BD4A-224A-878E-E040-BB89AD4316C8,C12419:C13071:C37998:C13063:C19594:C13717
0CA6EC96-CF8C-0FC7-E050-BB89AD437213,C12439:C16809
382201E8-4DA6-73ED-E044-0003BA3F9857,C12468:C19594
6FDDC01F-53A1-85C4-E040-BB89AD430E78,C12508:C25436
C842B689-D3F1-2243-E040-BB89AD436A45,C12664:C19594
BA20D041-BFCC-4025-E040-BB89AD4303DF,C12683:C37912:C12468:C13717
D115825C-79BF-6287-E040-BB89AD430272,C12745:C12726
D115825C-7A7D-6287-E040-BB89AD430272,C12745:C12844
BA20FDCF-BD98-7DDD-E040-BB89AD43468A,C12844:C13360:C69314:C12998
326CCAA9-D71F-6F65-E050-BB89AD43595F,C12998:C16809
86E18C0F-E1E2-9226-E040-BB89AD430EF0,C13235:C2852
212069D9-6F19-5F97-E044-0003BA3F9857,C13250:C2991
CCF8C3E5-8AEA-62A9-E040-BB89AD4319A3,C15725:C51778
CCF7FCEC-10E3-6A90-E040-BB89AD4346B4,C15725:C51928
894EFAC5-1A94-5D33-E040-BB89AD431AD8,C16673:C50995
DECFDB4E-D4E4-2E6C-E040-BB89AD436C6B,C16960:C26554
6943FAAB-DE33-2A41-E040-BB89AD4327F0,C16960:C49161
C5357792-6BB2-816D-E040-BB89AD43181A,C17248:C20450
F37D0429-025B-6787-E034-0003BA3F9857,C17649:C12438
3C4C44B0-1FCF-5F6E-E044-0003BA3F9857,C17649:C12486:C2991
F37D0429-3B5B-6787-E034-0003BA3F9857,C17649:C25685
F37D0428-FE04-6787-E034-0003BA3F9857,C17649:C2991
33E5C497-ED7D-4C81-E044-0003BA3F9857,C17649:C9305
9766E8FC-EF6A-9808-E040-BB89AD434090,C18206:C38155
894EFAC5-1A6F-5D33-E040-BB89AD431AD8,C18280:C50995
161F7886-73A8-F9D4-E050-BB89AD4353C4,C18902:C48928:C25594:C49236:C25382
899F4FC5-DA5D-3A4B-E040-BB89AD436E3E,C19594:C2926
37D197D9-86E7-49A4-E044-0003BA3F9857,C19594:C3163
384884F4-513F-20DD-E044-0003BA3F9857,C19594:C4345
894EFAC5-1AB9-5D33-E040-BB89AD431AD8,C19770:C50995
4DDDFD57-4C95-1989-E044-0003BA3F9857,C25200:C25371
CCF7FCEC-10C2-6A90-E040-BB89AD4346B4,C25231:C15232:C12390
9F9115EF-47D8-01FF-E040-BB89AD433061,C25236:C12256
0A2C1D25-88CC-603A-E044-0003BA3F9857,C25250:C15232
C9E8E8B0-E3B9-C69C-E040-BB89AD430AFD,C25250:C25655
663026CD-D79E-9954-E040-BB89AD437359,C25250:C50995
B75FA84F-FE3D-4BB0-E040-BB89AD4343A1,C25251:C49236
67AD9A2F-1334-E58B-E040-BB89AD437C2B,C25259:C3236:C2916
DB98873E-ED90-F615-E040-BB89AD4317EA,C25260:C25716:C16033
F37D0428-FE69-6787-E034-0003BA3F9857,C25321:C12745
CCD31214-860A-A463-E040-BB89AD436EE3,C25355:C37980:C61106
CCD31214-8613-A463-E040-BB89AD436EE3,C25355:C38166:C61106
BA20BD4A-2018-878E-E040-BB89AD4316C8,C25389:C12664:C12767:C13717
BA20BD4A-2040-878E-E040-BB89AD4316C8,C25389:C37912:C12767:C13717
66481888-16E5-4CC1-E040-BB89AD43353A,C25398:C35571
AD5ACBF0-8E83-7339-E040-BB89AD43314B,C25406:C16502
A3F38E88-C79D-FBA0-E040-BB89AD433A5E,C25493:C17525
DB98873E-ED42-F615-E040-BB89AD4317EA,C25509:C25716:C16033
30AEF7CC-0C6C-3F3C-E044-0003BA3F9857,C25594:C25214
F37D0428-F483-6787-E034-0003BA3F9857,C25594:C25217
058E2646-D126-62A7-E050-BB89AD433060,C25594:C25250:C15232
40A22331-C92C-2A14-E044-0003BA3F9857,C25594:C25375
708F23AB-69FE-01F2-E040-BB89AD430942,C25594:C25446
39644D6E-B5B1-21D7-E044-0003BA3F9857,C25594:C25458:C4870
42C2719A-CA15-6D69-E044-0003BA3F9857,C25594:C25500
56935492-F6B8-34F6-E044-0003BA3F9857,C25594:C48662
45193DB5-7D9B-3FDD-E044-0003BA3F9857,C25594:C4870
46ADC95C-E153-452D-E044-0003BA3F9857,C25648:C28343
2825736F-7FF9-F11E-E050-BB89AD434953,C25685:C17649
3E5C61AC-732C-41A9-E044-0003BA3F9857,C25685:C17649
4A719228-0E6B-4738-E044-0003BA3F9857,C278:C62577
E11F58D7-151A-A31E-E040-BB89AD437181,C29744:C84514:C19597
FEDE33B4-DC3F-6C72-E040-BB89AD43611C,C29744:C84514:C19597:C25436
FEDE33B4-DC17-6C72-E040-BB89AD43611C,C29744:C84514:C19597:C99276
DC2BA403-2E90-66AD-E040-BB89AD4350F2,C3189:C73619
DB9AB734-64C4-5FC9-E040-BB89AD43368D,C38008:C15431:C25301
0DCFEA70-0B50-6D7F-E050-BB89AD434E9E,C38008:C15675
3102104D-7F59-0784-E044-0003BA3F9857,C38061:C25460
45BEAC9E-5F26-170A-E053-F662850AB6A3,C38676:C20985
4B8C6F93-232C-1D38-E044-0003BA3F9857,C408:CL213860
C854B0C5-7698-E2BF-E040-BB89AD433AFB,C41132:C4876
3324F6BF-1F1C-83EA-E050-BB89AD432FAF,C41132:C99673
AD5ACBF0-8D70-7339-E040-BB89AD43314B,C48313:C25274:C14143
C5C131EB-41E7-A036-E040-BB89AD434B18,C49161:C16033
AB461F5D-3F02-78CA-E040-BB89AD434E2B,C49484:C37998:C17998
723DC8C2-6334-B5EE-E040-BB89AD43066C,C49487:C25162:C67490
397B7590-F371-00BC-E044-0003BA3F9857,C49487:C25214
2090B68B-CB16-4FB0-E044-0003BA3F9857,C49487:C25217
848D6B1E-8F0F-0D9C-E040-BB89AD437B49,C50995:C25594:C17747
38220E8D-A0DE-0D5D-E044-0003BA3F9857,C51765:C15256
E18D2452-BD0D-3D79-E040-BB89AD436F10,C53268:C100809:C25458:C71329
406248CC-73ED-734F-E044-0003BA3F9857,C53268:C25174:C25458:C71329
406248CC-7417-734F-E044-0003BA3F9857,C53268:C25189:C25458:C71329
E18D2452-BDA9-3D79-E040-BB89AD436F10,C53268:C96572:C25458:C71329
E18D2452-BD81-3D79-E040-BB89AD436F10,C53268:C96580:C25458:C71329
55491D1D-84D1-3E82-E044-0003BA3F9857,C53279:C49236
DB98873E-EDB7-F615-E040-BB89AD4317EA,C54566:C25716:C16033
CD7177D0-9EF4-4753-E040-BB89AD431887,C54566:C62613
E7D99851-B8F3-E83D-E040-BB89AD435646,C54722:C18000
38DBE882-E485-674F-E044-0003BA3F9857,C62780:C4870
39978D4B-0847-535E-E050-BB89AD4354A2,C65069:C82465
AEA12E73-7C17-F547-E040-BB89AD434A01,C66832:C25301
ADC94217-09F7-8225-E040-BB89AD4349A1,C66832:C25529
ADDF9C02-39EA-5784-E040-BB89AD43338D,C66832:C29848
AEA12E73-7BF1-F547-E040-BB89AD434A01,C66833:C25301
ADC94217-09D1-8225-E040-BB89AD4349A1,C66833:C25529
AEA12E73-7BCB-F547-E040-BB89AD434A01,C66834:C25301
ADC94217-09AB-8225-E040-BB89AD4349A1,C66834:C25529
AEA12E73-7BA5-F547-E040-BB89AD434A01,C66835:C25301
ADC94217-0985-8225-E040-BB89AD4349A1,C66835:C25529
AEA12E73-7B7F-F547-E040-BB89AD434A01,C66836:C25301
AEA12E73-7B59-F547-E040-BB89AD434A01,C66837:C25301
1DBF84EB-B1AD-22A3-E050-BB89AD435A95,C66837:C29844
AEA12E73-7B33-F547-E040-BB89AD434A01,C66838:C25301
ADDF9C02-3A10-5784-E040-BB89AD43338D,C69122:C29848
FC4B0AF4-D924-5651-E040-BB89AD433E30,C69177:C12801
7A244D8A-52C9-31A8-E040-BB89AD436F56,C69177:C19157
3C4B7208-52E2-2E92-E044-0003BA3F9857,C70627:C3519
3C4B7208-52BA-2E92-E044-0003BA3F9857,C70628:C3519
3C4B7208-5332-2E92-E044-0003BA3F9857,C70629:C3519
3C4B7208-530A-2E92-E044-0003BA3F9857,C70630:C3519
E7D99D77-F1C9-B53A-E040-BB89AD4331FD,C73705:C18000
5780D492-96B6-3CFD-E044-0003BA3F9857,C76246:Rh Negative Blood Group
5780D492-96DE-3CFD-E044-0003BA3F9857,C76246:Rh Positive Blood Group
E4E485A8-032D-C9B7-E040-BB89AD4349BE,C8511:C49236:C25745
CCCFF6F0-2C2F-7690-E040-BB89AD43525B,C86568:C37980:C61106
CCCFF6F0-2C38-7690-E040-BB89AD43525B,C86568:C38166:C61106
39978D4B-083D-535E-E050-BB89AD4354A2,C93214:C37912:C65069:C28554
21873A93-D165-A898-E050-BB89AD4354B4,C94462:C15399
CCF8C3E5-8AFB-62A9-E040-BB89AD4319A3,C94462:C51778
